"Tipo","Descrição"
"Erro","E1005: Não foi possível acessar o arquivo. no arquivo: C:\Users\bruno\AppData\Local\Temp\fccdf99e-1dfa-4eaa-b40a-fda53d31373d\cTemp\mTemp\mbp_7E8_6_16_11_2E_E_235_A3C_F3C_1\EPUB\nav.xhtml","","","",""
"Erro","E24012: Não foi possível criar o ficheiro de navegação Epub.","","","",""
"Aviso","W30006: A leitura do ficheiro de navegação Epub falhada C:\Users\bruno\AppData\Local\Temp\fccdf99e-1dfa-4eaa-b40a-fda53d31373d\cTemp\mTemp\mbp_7E8_6_16_11_2E_E_235_A3C_F3C_1\EPUB\nav.xhtml","","","",""
"Status","Falha na conversão do livro."
